m/z,20201003-ZJ-POS-MSE-AF1,20201003-ZJ-POS-MSE-AF2,20201003-ZJ-POS-MSE-AF3,20201003-ZJ-POS-MSE-AF4,20201003-ZJ-POS-MSE-AF5,20201003-ZJ-POS-MSE-AF6,20201003-ZJ-POS-MSE-AF7,20201003-ZJ-POS-MSE-AF8,20201003-ZJ-POS-MSE-AF9,20201003-ZJ-POS-MSE-AF10,20201003-ZJ-POS-MSE-AF11,20201003-ZJ-POS-MSE-AF12,20201003-ZJ-POS-MSE-AF13,20201003-ZJ-POS-MSE-AF14,20201003-ZJ-POS-MSE-AF15,20201003-ZJ-POS-MSE-F1,20201003-ZJ-POS-MSE-F2,20201003-ZJ-POS-MSE-F3,20201003-ZJ-POS-MSE-F4,20201003-ZJ-POS-MSE-F5,20201003-ZJ-POS-MSE-F6,20201003-ZJ-POS-MSE-F7,20201003-ZJ-POS-MSE-F8,20201003-ZJ-POS-MSE-F9,20201003-ZJ-POS-MSE-F10,20201003-ZJ-POS-MSE-F11,20201003-ZJ-POS-MSE-F12,20201003-ZJ-POS-MSE-F13,20201003-ZJ-POS-MSE-F14,20201003-ZJ-POS-MSE-F15,20201003-ZJ-POS-MSE-T1,20201003-ZJ-POS-MSE-T2,20201003-ZJ-POS-MSE-T3,20201003-ZJ-POS-MSE-T4,20201003-ZJ-POS-MSE-T5,20201003-ZJ-POS-MSE-T6,20201003-ZJ-POS-MSE-T7,20201003-ZJ-POS-MSE-T8,20201003-ZJ-POS-MSE-T9,20201003-ZJ-POS-MSE-T10,20201003-ZJ-POS-MSE-T11,20201003-ZJ-POS-MSE-T12,20201003-ZJ-POS-MSE-T13,20201003-ZJ-POS-MSE-T14,20201003-ZJ-POS-MSE-T15
1618.255134,143194.1532,147555.0976,166407.1552,164219.9694,176896.1712,156049.902,4452.700377,194692.1936,4147.129783,158088.3146,4950.477362,168975.7211,134564.2285,132614.6254,146213.8561,105967.1858,128060.9026,105980.2499,623.6209717,2262.892079,1058.649308,2357.764329,2939.708258,102127.6151,110862.8871,157586.8054,141835.0432,2495.442608,95928.44864,1533.91619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1816.515443,81028.50339,99716.57889,116164.5985,108897.3969,110335.6593,112191.6865,154849.0479,119130.9756,141084.3001,104406.8627,102558.3883,100049.6805,84252.53902,88461.15186,91006.74119,83052.1392,82037.52022,64401.64534,nan,86980.54154,9595.029747,79533.2419,173067.8253,62999.08999,77767.58634,90554.20273,96172.56965,43939.4286,63157.37896,7560.986301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2144.493316,93778.15408,130605.0103,133425.9727,134704.9321,147118.3258,125164.3635,28001.01642,151835.2485,37583.16642,120238.1025,22624.23616,115935.9513,101470.006,113462.5824,116997.5534,138152.7473,101206.1079,68026.67652,21.80102539,12665.33513,1899.863215,859.1086378,157009.9833,105686.4057,98774.83999,130782.8376,137701.1126,39325.89209,58524.2301,10649.63723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1816.1806,66941.12169,84732.56123,95956.8709,91824.39547,94252.91404,94863.40953,130153.5397,100296.6644,117892.5611,88332.97491,86820.80803,83551.63677,70922.48387,73530.93106,75690.92443,68151.61313,67582.84336,53393.43847,nan,73018.06515,3982.410198,65861.55034,145391.2967,50609.00644,65629.78982,76966.23249,80483.85139,35650.84894,52727.18778,3373.676766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1850.395712,38951.66959,62179.27993,72960.17144,64746.43808,74272.52215,70335.10701,41548.08191,80018.15058,103869.3522,47337.29637,53125.82548,61984.66412,51548.01443,63538.02249,58067.36409,56114.2013,35561.78841,32350.36153,66896.72137,64719.20886,10638.62309,4170.598829,65143.45391,39507.49095,63660.07172,45498.05862,54399.81988,234186.1888,29893.82554,151966.7526,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1900.25545,88250.64518,86171.78376,93169.53774,89573.94607,90440.95913,93280.81756,36842.96591,106054.5847,23605.30478,99441.44284,29833.78737,93508.13573,70551.44771,76423.58336,77647.87157,86451.45544,86165.14042,68303.11158,4742.192312,20243.27189,4694.071653,3215.730831,17939.23909,75725.5293,87418.48288,114263.3996,106835.6692,40709.73521,66417.83894,34325.60148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1800.343979,89281.37332,102817.511,97638.56303,100065.6756,121038.4096,73492.0692,2344.739129,114900.1309,118.4367337,78898.37993,1341.946774,90400.24401,86448.87126,101195.1078,97003.87462,97893.88324,83316.04964,51680.94803,55.28674316,399.2301025,184.8889484,461.8540329,603.6483164,84964.41482,57921.0039,125013.6621,125507.2257,31.96124522,44741.35656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1638.468792,74836.75976,77806.84174,89578.34778,86778.12976,85527.43965,90914.13324,45252.11583,96963.53168,50649.01537,89692.46914,34374.76856,85203.36205,63692.80076,68852.02033,69579.30952,76027.52098,66261.13577,55923.87704,25944.55019,81071.99185,20005.46238,25166.99245,27009.72163,55312.97159,65951.60887,76849.72499,99900.76888,52009.43353,57430.87219,5691.358737,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1934.453865,94619.1633,65381.96369,71020.57556,66228.34848,55474.7721,51230.90107,101395.0389,69023.19859,20997.27619,80269.09374,54797.73282,64633.95363,54984.25505,44671.95703,52571.47915,79915.61886,76071.88668,58534.79101,27271.61103,77887.67089,10187.03974,56862.96501,22656.38376,74032.46352,81575.13516,127240.6233,105729.7451,21646.08507,68416.41611,44561.82947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1754.339634,6622.859309,7546.781295,28127.07926,11066.38673,15097.32511,9935.935323,99762.39731,11242.58612,68090.66602,9373.630319,107984.8837,10860.30165,9245.182789,15101.54544,9855.221951,21296.97516,20904.19328,17305.5926,23682.80596,59875.18782,1751.818335,286594.7752,5768.529796,7358.676848,133732.7681,15195.80662,8481.030268,113609.1845,13913.73535,70213.73584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
